Age,Attrition,DailyRate,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Income_Per_Year,Tenure_Ratio,Education_Income_Ratio,Distance_Per_Income,Years_Per_Promotion,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
35,0,809,16,3,14,1,84,4,1,2,2426,16479,0,13,3,3,1,6,5,3,5,4,0,3,346.57142857142856,0.7142857142857143,606.5,0.006592501030078286,5.0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
29,0,153,15,2,15,4,49,2,2,3,4193,12682,0,12,3,4,0,10,3,3,9,5,0,8,381.1818181818182,0.8181818181818182,1397.6666666666667,0.00357653791130186,9.0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
31,0,670,26,1,16,1,31,3,1,3,2911,15170,1,17,3,4,1,5,1,2,5,2,4,3,485.1666666666667,0.8333333333333334,1455.5,0.008928571428571428,1.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
34,0,1346,19,2,18,2,93,3,1,4,2661,8758,0,11,3,3,1,3,2,3,2,2,1,2,665.25,0.5,887.0,0.007137490608564989,1.0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
28,1,103,24,3,19,3,50,2,1,3,2028,12947,5,14,3,2,0,6,4,3,4,2,0,3,289.7142857142857,0.5714285714285714,507.0,0.011828486939379004,4.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
29,0,1389,21,4,20,2,51,4,3,1,9980,10195,1,11,3,3,1,10,1,3,10,9,8,8,907.2727272727273,0.9090909090909091,1996.0,0.0021039975954313195,1.1111111111111112,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,0,334,5,2,21,1,80,4,1,2,3298,15053,0,12,3,4,2,7,5,2,6,2,0,5,412.25,0.75,1099.3333333333333,0.001515610791148833,6.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
22,0,1123,16,2,22,4,96,4,1,4,2935,7324,1,13,3,2,2,1,2,2,1,0,0,0,1467.5,0.5,978.3333333333334,0.005449591280653951,1.0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
53,0,1219,2,4,23,1,78,2,4,4,15427,22021,2,16,3,3,0,31,3,3,25,8,3,7,482.09375,0.78125,3085.4,0.00012963443090484831,6.25,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
38,0,371,2,3,24,4,45,3,1,4,3944,4306,5,11,3,3,0,6,3,3,3,2,1,2,563.4285714285714,0.42857142857142855,986.0,0.0005069708491761723,1.5,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
24,0,673,11,2,26,1,96,4,2,3,4011,8232,0,18,3,4,1,5,5,2,4,2,1,3,668.5,0.6666666666666666,1337.0,0.0027417746759720836,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
36,1,1218,9,4,27,3,82,2,1,1,3407,6986,7,23,4,2,0,10,4,3,5,3,0,3,309.72727272727275,0.45454545454545453,681.4,0.002640845070422535,5.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
34,0,419,7,4,28,1,53,3,3,2,11994,21293,0,11,3,3,0,13,4,3,12,6,2,11,856.7142857142857,0.8571428571428571,2398.8,0.0005835764902042518,4.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
21,0,391,15,2,30,3,96,3,1,4,1232,19281,1,14,3,4,0,0,6,3,0,0,0,0,1232.0,0.0,410.6666666666667,0.012165450121654502,0.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
34,1,699,6,1,31,2,83,3,1,1,2960,17102,2,11,3,3,0,8,2,3,4,2,1,3,328.8888888888889,0.4444444444444444,1480.0,0.002026342451874367,2.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
53,0,1282,5,3,32,3,58,3,5,3,19094,10735,4,11,3,4,1,26,3,2,14,13,4,8,707.1851851851852,0.5185185185185185,4773.5,0.0002618486514794449,2.8,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
32,1,1125,16,1,33,2,72,1,1,1,3919,4681,1,22,4,2,0,10,5,3,10,2,6,7,356.27272727272725,0.9090909090909091,1959.5,0.004081632653061225,1.4285714285714286,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
42,0,691,8,4,35,3,48,3,2,2,6825,21173,0,11,3,4,1,10,2,3,9,7,4,2,620.4545454545455,0.8181818181818182,1365.0,0.0011719894520949312,1.8,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
44,0,477,7,4,36,1,42,2,3,4,10248,2094,3,14,3,4,1,24,4,3,22,6,5,17,409.92,0.88,2049.6,0.0006829934627768562,3.6666666666666665,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,0,705,2,4,38,2,83,3,5,1,18947,22822,3,12,3,4,0,22,2,2,2,2,2,1,823.7826086956521,0.08695652173913043,3789.4,0.00010555203715431708,0.6666666666666666,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
33,0,924,2,3,39,3,78,3,1,4,2496,6670,4,11,3,4,0,7,3,3,1,1,0,0,312.0,0.125,624.0,0.0008009611533840609,1.0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
44,0,1459,10,4,40,4,41,3,2,4,6465,19121,2,13,3,4,0,9,5,4,4,2,1,3,646.5,0.4,1293.0,0.001546551190844417,2.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
30,0,125,9,2,41,4,83,2,1,3,2206,16117,1,13,3,1,0,10,5,3,10,0,1,8,200.54545454545453,0.9090909090909091,735.3333333333334,0.0040779338468509285,5.0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
39,1,895,5,3,42,4,56,3,2,4,2086,3335,3,14,3,3,1,19,6,4,1,0,0,0,104.3,0.05,521.5,0.0023957834211787254,1.0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
24,1,813,1,3,45,2,61,3,1,4,2293,3020,2,16,3,1,1,6,2,2,2,0,2,0,327.57142857142856,0.2857142857142857,573.25,0.00043591979075850045,0.6666666666666666,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
43,0,1273,2,2,46,4,72,4,1,3,2645,21923,1,12,3,4,2,6,3,2,5,3,1,4,377.85714285714283,0.7142857142857143,881.6666666666666,0.0007558578987150416,2.5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,1,869,3,2,47,1,86,2,1,3,2683,3810,1,14,3,3,0,3,2,3,3,2,0,2,670.75,0.75,894.3333333333334,0.0011177347242921013,3.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
35,0,890,2,3,49,4,97,3,1,4,2014,9687,1,13,3,1,0,2,3,3,2,2,2,2,671.3333333333334,0.6666666666666666,503.5,0.0009925558312655087,0.6666666666666666,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
36,0,852,5,4,51,2,82,2,1,1,3419,13072,9,14,3,4,1,6,3,4,1,1,0,0,488.42857142857144,0.14285714285714285,683.8,0.0014619883040935672,1.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
33,0,1141,1,3,52,3,42,4,2,1,5376,3193,2,19,3,1,2,10,3,3,5,3,1,3,488.72727272727275,0.45454545454545453,1344.0,0.0001859773107680863,2.5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
35,0,464,4,2,53,3,75,3,1,4,1951,10910,1,12,3,3,1,1,3,3,1,0,0,0,975.5,0.5,650.3333333333334,0.0020491803278688526,1.0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
27,0,1240,2,4,54,4,33,3,1,1,2341,19715,1,13,3,4,1,1,6,3,1,0,0,0,1170.5,0.5,468.2,0.0008539709649871904,1.0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,1,1357,25,3,55,1,48,1,1,3,2293,10558,1,12,3,3,0,1,2,2,1,0,0,1,1146.5,0.5,573.25,0.010897994768962511,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
27,0,994,8,3,56,4,37,3,3,3,8726,2975,1,15,3,4,0,9,0,3,9,8,1,7,872.6,0.9,2181.5,0.0009166953133952103,4.5,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
30,0,721,1,2,57,3,58,3,2,4,4011,10781,1,23,4,4,0,12,2,3,12,8,3,7,308.53846153846155,0.9230769230769231,1337.0,0.0002492522432701894,3.0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
41,1,1360,12,3,58,2,49,3,5,3,19545,16280,1,12,3,4,0,23,0,3,22,15,15,8,814.375,0.9166666666666666,4886.25,0.0006139363552645043,1.375,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
34,0,1065,23,4,60,2,72,3,2,3,4568,10034,0,20,4,3,0,10,2,3,9,5,8,7,415.27272727272725,0.8181818181818182,913.6,0.005033924272269643,1.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
37,0,408,19,2,61,2,73,3,1,2,3022,10227,4,21,4,1,0,8,1,3,1,0,0,0,335.77777777777777,0.1111111111111111,1007.3333333333334,0.00628514720476348,1.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
46,0,1211,5,4,62,1,98,3,2,4,5772,20445,4,21,4,3,0,14,4,3,9,6,0,8,384.8,0.6,1154.4,0.0008661008141347653,9.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
35,0,1229,8,1,63,4,36,4,1,4,2269,4892,1,19,3,4,0,1,2,3,1,0,0,1,1134.5,0.5,1134.5,0.003524229074889868,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
48,1,626,1,2,64,1,98,2,3,3,5381,19294,9,13,3,4,0,23,2,3,1,0,0,0,224.20833333333334,0.041666666666666664,1793.6666666666667,0.0001858045336306206,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
28,1,1434,5,4,65,3,50,3,1,3,3441,11179,1,13,3,3,0,2,3,2,2,2,2,2,1147.0,0.6666666666666666,688.2,0.001452643811737362,0.6666666666666666,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1
44,0,1488,1,5,68,2,75,3,2,1,5454,4009,5,21,4,3,1,9,2,2,4,3,1,3,545.4,0.4,909.0,0.00018331805682859762,2.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
35,0,1097,11,2,70,3,79,2,3,1,9884,8302,2,13,3,3,1,10,3,3,4,0,2,3,898.5454545454545,0.36363636363636365,3294.6666666666665,0.001112797167425392,1.3333333333333333,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
26,0,1443,23,3,72,3,47,2,2,4,4157,21436,7,19,3,3,1,5,2,2,2,2,0,0,692.8333333333334,0.3333333333333333,1039.25,0.005531505531505531,2.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
33,0,515,1,2,73,1,98,3,3,4,13458,15146,1,12,3,3,0,15,1,3,15,14,8,12,841.125,0.9375,4486.0,7.429972509101716e-05,1.6666666666666667,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
35,0,853,18,5,74,2,71,3,3,1,9069,11031,1,22,4,4,1,9,3,2,9,8,1,8,906.9,0.9,1511.5,0.001984564498346196,4.5,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
35,0,1142,23,4,75,3,30,3,1,1,4014,16002,3,15,3,3,1,4,3,3,2,2,2,2,802.8,0.4,802.8,0.00572851805728518,0.6666666666666666,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
31,0,655,7,4,76,4,48,3,2,4,5915,9528,3,22,4,4,1,10,3,2,7,7,1,7,537.7272727272727,0.6363636363636364,1183.0,0.0011832319134550372,3.5,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
37,0,1115,1,4,77,1,51,2,2,3,5993,2689,1,18,3,3,1,7,2,4,7,5,0,7,749.125,0.875,1198.6,0.0001668335001668335,7.0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
32,0,427,1,3,78,1,33,3,2,4,6162,10877,1,22,4,2,1,9,3,3,9,8,7,8,616.2,0.9,1540.5,0.00016225864027259452,1.125,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
38,0,653,29,5,79,4,50,3,2,4,2406,5456,1,11,3,4,0,10,2,3,10,3,9,9,218.72727272727272,0.9090909090909091,401.0,0.012048192771084338,1.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
50,0,989,7,2,80,2,43,2,5,3,18740,16701,5,12,3,4,1,29,2,2,27,3,13,8,624.6666666666666,0.9,6246.666666666667,0.0003735126193906408,1.9285714285714286,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
59,0,1435,25,3,81,1,99,3,3,1,7637,2354,7,11,3,4,0,28,3,2,21,16,7,9,263.3448275862069,0.7241379310344828,1909.25,0.003273108143493061,2.625,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36,0,1223,8,3,83,3,59,3,3,3,10096,8202,1,13,3,2,3,17,2,3,17,14,12,8,560.8888888888889,0.9444444444444444,2524.0,0.0007923145488759037,1.3076923076923077,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,0,836,8,3,84,4,33,3,4,3,14756,19730,2,14,3,3,3,21,2,3,5,0,0,2,670.7272727272727,0.22727272727272727,3689.0,0.0005421156061530121,5.0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
36,0,1195,11,3,85,2,95,2,2,2,6499,22656,1,13,3,3,0,6,3,3,6,5,0,3,928.4285714285714,0.8571428571428571,1624.75,0.0016923076923076924,6.0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
45,0,1339,7,3,86,2,59,3,3,1,9724,18787,2,17,3,3,1,25,2,3,1,0,0,0,374.0,0.038461538461538464,2431.0,0.0007197943444730077,1.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
35,0,664,1,3,88,2,79,3,1,1,2194,5868,4,13,3,4,1,5,2,2,3,2,1,2,365.6666666666667,0.5,548.5,0.00045558086560364467,1.5,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
36,1,318,9,3,90,4,79,2,1,3,3388,21777,0,17,3,1,1,2,0,2,1,0,0,0,1129.3333333333333,0.3333333333333333,847.0,0.0026556506344054295,1.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
59,0,1225,1,1,91,1,57,2,2,3,5473,24668,7,11,3,4,0,20,2,2,4,3,1,3,260.6190476190476,0.19047619047619047,2736.5,0.00018268176835951772,2.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
29,0,1328,2,3,94,3,76,3,1,2,2703,4956,0,23,4,4,1,6,3,3,5,4,0,4,386.14285714285717,0.7142857142857143,675.75,0.0007396449704142012,5.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
31,0,1082,1,4,95,3,87,3,1,2,2501,18775,1,17,3,2,0,1,4,3,1,1,1,0,1250.5,0.5,500.2,0.0003996802557953637,0.5,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
32,0,548,1,3,96,2,66,3,2,2,6220,7346,1,17,3,2,2,10,3,3,10,4,0,9,565.4545454545455,0.9090909090909091,1555.0,0.00016074586079408456,10.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
36,0,132,6,3,97,2,55,4,1,4,3038,22002,3,12,3,2,0,5,3,3,1,0,0,0,506.3333333333333,0.16666666666666666,759.5,0.0019743336623889436,1.0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
31,0,746,8,4,98,3,61,3,2,4,4424,20682,1,23,4,4,0,11,2,3,11,7,1,8,368.6666666666667,0.9166666666666666,884.8,0.001807909604519774,5.5,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
35,0,776,1,4,100,3,32,2,2,1,4312,23016,0,14,3,2,0,16,2,3,15,13,2,8,253.64705882352942,0.8823529411764706,862.4,0.00023185717597959656,5.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
45,0,193,6,4,101,4,52,3,3,1,13245,15067,4,14,3,2,0,17,3,4,0,0,0,0,735.8333333333334,0.0,2649.0,0.0004529669334138608,0.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
37,0,397,7,4,102,1,30,3,3,3,13664,25258,4,13,3,1,0,16,3,4,5,2,0,2,803.7647058823529,0.29411764705882354,2732.8,0.0005122575923893158,5.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
46,0,945,5,2,103,2,80,3,2,2,5021,10425,8,22,4,4,1,16,2,3,4,2,0,2,295.3529411764706,0.23529411764705882,1673.6666666666667,0.0009956192751891676,4.0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
30,0,852,1,1,104,4,55,2,2,4,5126,15998,1,12,3,3,2,10,1,2,10,8,3,0,466.0,0.9090909090909091,2563.0,0.0001950458357714063,2.5,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
35,0,1214,1,3,105,2,30,2,1,3,2859,26278,1,18,3,1,0,6,3,3,6,4,0,4,408.42857142857144,0.8571428571428571,714.75,0.00034965034965034965,6.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
55,0,111,1,2,106,1,70,3,3,4,10239,18092,3,14,3,4,1,24,4,3,1,0,1,0,409.56,0.04,3413.0,9.765625e-05,0.5,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
38,0,573,6,3,107,2,79,1,2,4,5329,15717,7,12,3,4,3,17,3,3,13,11,1,9,296.05555555555554,0.7222222222222222,1332.25,0.001125703564727955,6.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
34,0,1153,1,2,110,1,94,3,2,2,4325,17736,1,15,3,3,0,5,2,3,5,2,1,3,720.8333333333334,0.8333333333333334,1441.6666666666667,0.0002311604253351826,2.5,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
56,0,1400,7,3,112,4,49,1,3,4,7260,21698,4,11,3,1,0,37,3,2,6,4,0,2,191.05263157894737,0.15789473684210525,1815.0,0.0009640545379424321,6.0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
23,0,541,2,1,113,3,62,3,1,1,2322,9518,3,13,3,3,1,3,3,3,0,0,0,0,580.5,0.0,1161.0,0.0008609556607834697,0.0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
51,0,432,9,4,116,4,96,3,1,4,2075,18725,3,23,4,2,2,10,4,3,4,2,0,3,188.63636363636363,0.36363636363636365,415.0,0.004335260115606936,4.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
30,0,288,2,3,117,3,99,2,2,4,4152,15830,1,19,3,1,3,11,3,3,11,10,10,8,346.0,0.9166666666666666,1038.0,0.0004815795810257645,1.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
46,1,669,9,2,118,3,64,2,3,4,9619,13596,1,16,3,4,0,9,3,3,9,8,4,7,961.9,0.9,3206.3333333333335,0.0009355509355509356,1.8,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
40,0,530,1,4,119,3,78,2,4,2,13503,14115,1,22,4,4,1,22,3,2,22,3,11,11,587.0869565217391,0.9565217391304348,2700.6,7.40521327014218e-05,1.8333333333333333,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
51,0,632,21,4,120,3,71,3,2,4,5441,8423,0,22,4,4,0,11,2,1,10,7,1,0,453.4166666666667,0.8333333333333334,1088.2,0.003858875413450937,5.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
30,0,1334,4,2,121,3,63,2,2,2,5209,19760,1,12,3,2,3,11,4,2,11,8,2,7,434.0833333333333,0.9166666666666666,1736.3333333333333,0.0007677543186180423,3.6666666666666665,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
46,0,638,1,3,124,3,40,2,3,1,10673,3142,2,13,3,3,1,21,5,2,10,9,9,5,485.1363636363636,0.45454545454545453,2668.25,9.368559115608019e-05,1.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
32,0,1093,6,4,125,2,87,3,2,3,5010,24301,1,16,3,1,0,12,0,3,11,8,5,7,385.38461538461536,0.8461538461538461,1002.0,0.001197365795250449,1.8333333333333333,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
54,0,1217,2,4,126,1,60,3,3,3,13549,24001,9,12,3,1,1,16,5,1,4,3,0,3,797.0,0.23529411764705882,2709.8,0.00014760147601476016,4.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
24,0,1353,3,2,128,1,33,3,2,3,4999,17519,0,21,4,1,1,4,2,2,3,2,0,2,999.8,0.6,1666.3333333333333,0.0006,3.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
28,0,120,4,3,129,2,43,3,2,3,4221,8863,1,15,3,2,0,5,3,4,5,4,0,4,703.5,0.8333333333333334,1055.25,0.0009474182851729038,5.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
58,0,682,10,4,131,4,37,3,4,3,13872,24409,0,13,3,3,0,38,1,2,37,10,1,8,355.6923076923077,0.9487179487179487,2774.4,0.0007208246233691343,18.5,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
44,0,489,23,3,132,2,67,3,2,2,2042,25043,4,12,3,3,1,17,3,4,3,2,1,2,113.44444444444444,0.16666666666666666,510.5,0.011257953989231522,1.5,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
37,1,807,6,4,133,3,63,3,1,1,2073,23648,4,22,4,4,0,7,3,3,3,2,0,2,259.125,0.375,414.6,0.0028929604628736743,3.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
